Datetime,Open,High,Low,Close,Adj Close,Volume
2023-03-23 14:43:00-04:00,60.209999084472656,60.2599983215332,60.15999984741211,60.17499923706055,60.17499923706055,39343
2023-03-23 14:44:00-04:00,60.18000030517578,60.20000076293945,60.1150016784668,60.1349983215332,60.1349983215332,26613
2023-03-23 14:45:00-04:00,60.13999938964844,60.279998779296875,60.13999938964844,60.25,60.25,57365
2023-03-23 14:46:00-04:00,60.255001068115234,60.27000045776367,60.189998626708984,60.20000076293945,60.20000076293945,25780
2023-03-23 14:47:00-04:00,60.189998626708984,60.23500061035156,60.099998474121094,60.102500915527344,60.102500915527344,44051
2023-03-23 14:48:00-04:00,60.099998474121094,60.154998779296875,60.064998626708984,60.130001068115234,60.130001068115234,27874
2023-03-23 14:49:00-04:00,60.130001068115234,60.18000030517578,60.040000915527344,60.119998931884766,60.119998931884766,42249
2023-03-23 14:50:00-04:00,60.119998931884766,60.130001068115234,60.025001525878906,60.07500076293945,60.07500076293945,34268
2023-03-23 14:51:00-04:00,60.060001373291016,60.15999984741211,60.060001373291016,60.15999984741211,60.15999984741211,31761
2023-03-23 14:52:00-04:00,60.150001525878906,60.16999816894531,60.01599884033203,60.03499984741211,60.03499984741211,29029
2023-03-23 14:53:00-04:00,60.02000045776367,60.11000061035156,60.02000045776367,60.099998474121094,60.099998474121094,32750
2023-03-23 14:54:00-04:00,60.09000015258789,60.097900390625,60.021400451660156,60.029998779296875,60.029998779296875,24428
2023-03-23 14:55:00-04:00,60.02989959716797,60.04999923706055,59.9900016784668,60.025001525878906,60.025001525878906,64491
2023-03-23 14:56:00-04:00,60.025001525878906,60.10499954223633,59.9900016784668,60.10499954223633,60.10499954223633,39084
2023-03-23 14:57:00-04:00,60.10499954223633,60.18000030517578,60.099998474121094,60.14500045776367,60.14500045776367,23363
2023-03-23 14:58:00-04:00,60.150001525878906,60.290000915527344,60.13999938964844,60.279998779296875,60.279998779296875,29905
2023-03-23 14:59:00-04:00,60.290000915527344,60.380001068115234,60.290000915527344,60.36000061035156,60.36000061035156,46473
2023-03-23 15:00:00-04:00,60.36000061035156,60.79999923706055,60.35499954223633,60.79499816894531,60.79499816894531,166624
2023-03-23 15:01:00-04:00,60.79999923706055,60.83000183105469,60.65999984741211,60.7400016784668,60.7400016784668,132169
2023-03-23 15:02:00-04:00,60.7400016784668,60.7599983215332,60.54999923706055,60.560001373291016,60.560001373291016,70754
2023-03-23 15:03:00-04:00,60.56999969482422,60.70000076293945,60.54999923706055,60.66999816894531,60.66999816894531,50570
2023-03-23 15:04:00-04:00,60.68000030517578,60.689998626708984,60.58000183105469,60.625,60.625,37991
2023-03-23 15:05:00-04:00,60.63999938964844,60.66999816894531,60.560001373291016,60.562801361083984,60.562801361083984,33420
2023-03-23 15:06:00-04:00,60.560001373291016,60.65999984741211,60.529998779296875,60.56999969482422,60.56999969482422,38685
2023-03-23 15:07:00-04:00,60.57500076293945,60.6150016784668,60.5099983215332,60.53499984741211,60.53499984741211,45243
2023-03-23 15:08:00-04:00,60.54499816894531,60.63999938964844,60.4900016784668,60.61000061035156,60.61000061035156,36763
2023-03-23 15:09:00-04:00,60.6349983215332,60.755001068115234,60.630001068115234,60.755001068115234,60.755001068115234,41871
2023-03-23 15:10:00-04:00,60.77000045776367,60.814998626708984,60.720001220703125,60.7599983215332,60.7599983215332,35512
2023-03-23 15:11:00-04:00,60.775001525878906,60.845001220703125,60.7400016784668,60.7400016784668,60.7400016784668,30028
2023-03-23 15:12:00-04:00,60.7400016784668,60.790000915527344,60.720001220703125,60.755001068115234,60.755001068115234,22531
2023-03-23 15:13:00-04:00,60.75,60.75120162963867,60.65999984741211,60.70000076293945,60.70000076293945,33393
2023-03-23 15:14:00-04:00,60.709999084472656,60.790000915527344,60.66999816894531,60.77000045776367,60.77000045776367,27383
2023-03-23 15:15:00-04:00,60.77000045776367,60.84000015258789,60.650001525878906,60.650001525878906,60.650001525878906,33976
2023-03-23 15:16:00-04:00,60.630001068115234,60.70500183105469,60.5890007019043,60.619998931884766,60.619998931884766,34790
2023-03-23 15:17:00-04:00,60.619998931884766,60.689998626708984,60.58000183105469,60.599998474121094,60.599998474121094,24976
2023-03-23 15:18:00-04:00,60.595001220703125,60.654998779296875,60.45000076293945,60.4900016784668,60.4900016784668,49718
2023-03-23 15:19:00-04:00,60.4900016784668,60.5,60.349998474121094,60.380001068115234,60.380001068115234,29189
2023-03-23 15:20:00-04:00,60.369998931884766,60.380001068115234,60.2599983215332,60.29499816894531,60.29499816894531,55949
2023-03-23 15:21:00-04:00,60.290000915527344,60.30500030517578,60.18000030517578,60.224998474121094,60.224998474121094,58237
2023-03-23 15:22:00-04:00,60.209999084472656,60.439998626708984,60.209999084472656,60.43000030517578,60.43000030517578,45806
2023-03-23 15:23:00-04:00,60.41999816894531,60.608001708984375,60.380001068115234,60.58000183105469,60.58000183105469,43005
2023-03-23 15:24:00-04:00,60.59000015258789,60.70000076293945,60.560001373291016,60.69499969482422,60.69499969482422,30566
2023-03-23 15:25:00-04:00,60.70000076293945,60.76499938964844,60.63999938964844,60.7400016784668,60.7400016784668,31948
2023-03-23 15:26:00-04:00,60.72999954223633,60.78499984741211,60.685001373291016,60.689998626708984,60.689998626708984,29055
2023-03-23 15:27:00-04:00,60.689998626708984,60.817298889160156,60.68190002441406,60.755001068115234,60.755001068115234,30314
2023-03-23 15:28:00-04:00,60.755001068115234,60.84000015258789,60.689998626708984,60.7599983215332,60.7599983215332,37274
2023-03-23 15:29:00-04:00,60.75,60.790000915527344,60.72999954223633,60.76499938964844,60.76499938964844,22090
2023-03-23 15:30:00-04:00,60.75,60.78499984741211,60.70000076293945,60.72999954223633,60.72999954223633,45954
2023-03-23 15:31:00-04:00,60.72999954223633,60.775001525878906,60.66999816894531,60.7400016784668,60.7400016784668,38777
2023-03-23 15:32:00-04:00,60.73500061035156,60.89970016479492,60.73500061035156,60.86000061035156,60.86000061035156,49556
2023-03-23 15:33:00-04:00,60.86000061035156,60.959999084472656,60.83000183105469,60.904998779296875,60.904998779296875,69525
2023-03-23 15:34:00-04:00,60.900001525878906,60.97999954223633,60.88999938964844,60.95500183105469,60.95500183105469,34116
2023-03-23 15:35:00-04:00,60.939998626708984,61.08000183105469,60.935001373291016,61.04999923706055,61.04999923706055,50809
2023-03-23 15:36:00-04:00,61.040000915527344,61.13999938964844,60.994998931884766,61.09000015258789,61.09000015258789,56679
2023-03-23 15:37:00-04:00,61.084999084472656,61.16999816894531,61.084999084472656,61.11000061035156,61.11000061035156,38509
2023-03-23 15:38:00-04:00,61.11000061035156,61.1349983215332,61.04499816894531,61.08000183105469,61.08000183105469,60924
2023-03-23 15:39:00-04:00,61.09000015258789,61.14830017089844,61.084999084472656,61.119998931884766,61.119998931884766,46279
2023-03-23 15:40:00-04:00,61.119998931884766,61.16999816894531,61.060001373291016,61.130001068115234,61.130001068115234,46400
2023-03-23 15:41:00-04:00,61.125,61.21500015258789,61.095001220703125,61.185001373291016,61.185001373291016,57896
2023-03-23 15:42:00-04:00,61.18000030517578,61.310001373291016,61.15999984741211,61.310001373291016,61.310001373291016,77083
2023-03-23 15:43:00-04:00,61.31999969482422,61.36000061035156,61.279998779296875,61.314998626708984,61.314998626708984,75012
2023-03-23 15:44:00-04:00,61.314998626708984,61.35499954223633,61.255001068115234,61.345001220703125,61.345001220703125,49630
2023-03-23 15:45:00-04:00,61.349300384521484,61.5099983215332,61.32500076293945,61.435001373291016,61.435001373291016,95969
2023-03-23 15:46:00-04:00,61.43000030517578,61.54999923706055,61.40999984741211,61.525001525878906,61.525001525878906,77217
2023-03-23 15:47:00-04:00,61.52000045776367,61.630001068115234,61.5099983215332,61.59000015258789,61.59000015258789,81754
2023-03-23 15:48:00-04:00,61.59000015258789,61.59000015258789,61.40999984741211,61.45000076293945,61.45000076293945,80764
2023-03-23 15:49:00-04:00,61.459999084472656,61.459999084472656,61.400001525878906,61.439998626708984,61.439998626708984,58294
2023-03-23 15:50:00-04:00,61.439998626708984,61.779998779296875,61.439998626708984,61.755001068115234,61.755001068115234,204814
2023-03-23 15:51:00-04:00,61.7599983215332,61.76499938964844,61.60499954223633,61.665000915527344,61.665000915527344,105848
2023-03-23 15:52:00-04:00,61.665000915527344,61.665000915527344,61.584999084472656,61.60499954223633,61.60499954223633,80242
2023-03-23 15:53:00-04:00,61.599998474121094,61.63999938964844,61.560001373291016,61.599998474121094,61.599998474121094,115063
2023-03-23 15:54:00-04:00,61.599998474121094,61.68000030517578,61.52000045776367,61.66999816894531,61.66999816894531,166498
2023-03-23 15:55:00-04:00,61.65999984741211,61.72999954223633,61.41999816894531,61.47999954223633,61.47999954223633,211822
2023-03-23 15:56:00-04:00,61.47990036010742,61.54999923706055,61.474998474121094,61.4900016784668,61.4900016784668,175325
2023-03-23 15:57:00-04:00,61.494998931884766,61.52000045776367,61.46500015258789,61.5,61.5,181512
2023-03-23 15:58:00-04:00,61.505001068115234,61.5099983215332,61.45000076293945,61.470001220703125,61.470001220703125,238882
2023-03-23 15:59:00-04:00,61.47999954223633,61.47999954223633,61.29999923706055,61.29999923706055,61.29999923706055,653074
2023-03-23 16:00:00-04:00,61.34,61.34,61.13,61.13,61.13,23182436
2023-03-23 16:01:00-04:00,61.34,61.34,61.22,61.34,61.34,0
2023-03-23 16:02:00-04:00,61.34,61.34,61.11,61.12,61.12,0
2023-03-23 16:03:00-04:00,61.13,61.34,61.12,61.34,61.34,0
2023-03-23 16:04:00-04:00,61.22,61.34,61.15,61.16,61.16,0
2023-03-23 16:05:00-04:00,61.15,61.15,61.15,61.15,61.15,0
2023-03-23 16:06:00-04:00,61.34,61.34,61.12,61.12,61.12,0
2023-03-23 16:07:00-04:00,61.23,61.23,61.23,61.23,61.23,0
2023-03-23 16:08:00-04:00,61.34,61.34,61.19,61.19,61.19,0
2023-03-23 16:09:00-04:00,61.34,61.34,61.34,61.34,61.34,0
2023-03-23 16:10:00-04:00,61.23,61.23,61.23,61.23,61.23,0
2023-03-23 16:11:00-04:00,61.34,61.34,61.23,61.23,61.23,0
2023-03-23 16:12:00-04:00,61.23,61.23,61.23,61.23,61.23,0
2023-03-23 16:13:00-04:00,61.21,61.26,61.21,61.26,61.26,0
2023-03-23 16:14:00-04:00,61.22,61.22,61.14,61.19,61.19,0
2023-03-23 16:15:00-04:00,61.34,61.34,61.34,61.34,61.34,0
2023-03-23 16:16:00-04:00,61.1105,61.21,61.11,61.21,61.21,0
2023-03-23 16:17:00-04:00,61.1211,61.1211,61.1211,61.1211,61.1211,0
2023-03-23 16:18:00-04:00,61.13,61.21,61.13,61.21,61.21,0
2023-03-23 16:19:00-04:00,61.18,61.19,61.01,61.03,61.03,0
2023-03-23 16:21:00-04:00,61.05,61.05,61.05,61.05,61.05,0
2023-03-23 16:22:00-04:00,61.07,61.07,61.05,61.05,61.05,0
2023-03-23 16:23:00-04:00,61.03,61.05,61.03,61.03,61.03,0
2023-03-23 16:24:00-04:00,61.1,61.1,61.1,61.1,61.1,0
2023-03-23 16:25:00-04:00,61.05,61.05,61.03,61.03,61.03,0
2023-03-23 16:26:00-04:00,61.1,61.12,61.06,61.06,61.06,0
2023-03-23 16:27:00-04:00,61.07,61.07,61.07,61.07,61.07,0
2023-03-23 16:28:00-04:00,61.1,61.1,61.07,61.07,61.07,0
2023-03-23 16:29:00-04:00,61.07,61.07,61.07,61.07,61.07,0
2023-03-23 16:30:00-04:00,61.12,61.12,61.12,61.12,61.12,0
2023-03-23 16:31:00-04:00,61.2,61.2,61.15,61.18,61.18,0
2023-03-23 16:32:00-04:00,61.18,61.26,61.18,61.26,61.26,0
2023-03-23 16:33:00-04:00,61.28,61.33,61.28,61.33,61.33,0
2023-03-23 16:34:00-04:00,61.33,61.35,61.2201,61.2201,61.2201,0
2023-03-23 16:36:00-04:00,61.3,61.33,61.3,61.33,61.33,0
2023-03-23 16:37:00-04:00,61.32,61.32,61.32,61.32,61.32,0
2023-03-23 16:38:00-04:00,61.33,61.34,61.33,61.34,61.34,0
2023-03-23 16:39:00-04:00,61.33,61.33,61.33,61.33,61.33,0
2023-03-23 16:40:00-04:00,61.26,61.34,61.26,61.34,61.34,0
2023-03-23 16:41:00-04:00,61.34,61.35,61.33,61.35,61.35,0
2023-03-23 16:42:00-04:00,61.38,61.62,61.38,61.62,61.62,0
2023-03-23 16:43:00-04:00,61.61,61.61,61.61,61.61,61.61,0
2023-03-23 16:44:00-04:00,61.435,61.45,61.435,61.45,61.45,0
2023-03-23 16:47:00-04:00,61.65,61.65,61.45,61.45,61.45,0
2023-03-23 16:49:00-04:00,61.45,61.52,61.45,61.52,61.52,0
2023-03-23 16:50:00-04:00,61.4324,61.4324,61.4324,61.4324,61.4324,0
2023-03-23 16:52:00-04:00,61.53,61.53,61.4453,61.4453,61.4453,0
